date,negative,neutral,positive,score
2013-01,106,584,119,0.057777777777777775
2013-02,84,529,94,0.056179775280898875
2013-03,116,542,124,0.03333333333333333
2013-04,141,541,113,-0.11023622047244094
2013-05,121,516,135,0.0546875
2013-06,90,473,99,0.047619047619047616
2013-07,129,525,103,-0.11206896551724138
2013-08,122,478,135,0.05058365758754864
2013-09,76,458,102,0.14606741573033707
2013-10,97,505,110,0.06280193236714976
2013-11,77,457,86,0.05521472392638037
2013-12,59,404,103,0.2716049382716049
2014-01,71,428,105,0.19318181818181818
2014-02,83,403,109,0.13541666666666666
2014-03,69,454,94,0.15337423312883436
2014-04,93,421,123,0.1388888888888889
2014-05,78,493,105,0.14754098360655737
2014-06,69,421,103,0.19767441860465115
2014-07,81,441,91,0.05813953488372093
2014-08,109,448,135,0.10655737704918032
2014-09,64,492,93,0.18471337579617833
2014-10,68,450,107,0.22285714285714286
2014-11,78,413,118,0.20408163265306123
2014-12,85,379,107,0.11458333333333333
2015-01,84,390,91,0.04
2015-02,55,400,91,0.2465753424657534
2015-03,82,417,103,0.11351351351351352
2015-04,82,371,101,0.10382513661202186
2015-05,70,356,93,0.1411042944785276
2015-06,64,374,85,0.14093959731543623
2015-07,84,416,114,0.15151515151515152
2015-08,82,384,92,0.05747126436781609
2015-09,82,371,93,0.06285714285714286
2015-10,87,391,91,0.02247191011235955
2015-11,67,384,106,0.2254335260115607
2015-12,72,403,86,0.08860759493670886
2016-01,95,439,103,0.04040404040404041
2016-02,79,359,95,0.09195402298850575
2016-03,91,338,106,0.07614213197969544
2016-04,86,317,79,-0.04242424242424243
2016-05,83,382,81,-0.012195121951219513
2016-06,75,459,98,0.1329479768786127
2016-07,88,366,90,0.011235955056179775
2016-08,100,367,89,-0.0582010582010582
2016-09,78,367,99,0.11864406779661017
2016-10,102,411,102,0.0
2016-11,78,370,92,0.08235294117647059
2016-12,80,405,99,0.10614525139664804
2017-01,62,325,73,0.08148148148148149
2017-02,58,273,63,0.04132231404958678
2017-03,73,423,79,0.039473684210526314
2017-04,88,351,84,-0.023255813953488372
2017-05,88,407,74,-0.08641975308641975
2017-06,49,331,79,0.234375
2017-07,76,327,79,0.01935483870967742
2017-08,63,387,93,0.19230769230769232
2017-09,46,352,70,0.20689655172413793
2017-10,73,431,97,0.1411764705882353
2017-11,69,423,105,0.20689655172413793
2017-12,85,467,94,0.05027932960893855
2018-01,70,426,85,0.0967741935483871
2018-02,56,352,66,0.08196721311475409
2018-03,63,517,95,0.20253164556962025
2018-04,54,404,85,0.22302158273381295
2018-05,139,670,169,0.09740259740259741
2018-06,76,513,100,0.13636363636363635
2018-07,70,521,126,0.2857142857142857
2018-08,73,540,120,0.24352331606217617
2018-09,55,476,97,0.27631578947368424
2018-10,71,454,98,0.15976331360946747
2018-11,95,451,106,0.05472636815920398
2018-12,63,400,88,0.16556291390728478
2019-01,76,484,98,0.12643678160919541
2019-02,100,428,101,0.004975124378109453
2019-03,57,459,94,0.24503311258278146
2019-04,100,467,102,0.009900990099009901
2019-05,76,468,108,0.17391304347826086
2019-06,87,413,91,0.02247191011235955
2019-07,95,442,94,-0.005291005291005291
2019-08,72,448,88,0.1
2019-09,71,363,84,0.08387096774193549
2019-10,67,428,105,0.22093023255813954
2019-11,57,367,86,0.20279720279720279
2019-12,35,318,77,0.375
